,analyst_target_price,book_value_per_share,industry,current_assets_prior,eps_ttm,total_debt,promoter_pledge_pct,total_assets_prior,roce,auditor_changed_flag,shares_outstanding,total_liabilities,enterprise_value,dividend_per_share,ebit,analyst_eps_estimate,retained_earnings,revenue,long_term_debt_prior,price,eps_growth_pct,cfo,dii_holding_pct,current_liabilities,fii_holding_pct,sector,total_equity,interest_expense,dii_holding_pct_prior,fii_holding_pct_prior,promoter_holding_pct,market_cap,gross_profit_prior,long_term_debt,net_income_prior,actual_eps,gross_profit,total_assets,number_of_analyst_opinions,ebitda,roe,current_liabilities_prior,net_income,capex,revenue_prior,promoter_holding_pct_prior,related_party_transactions_flag,current_assets
360ONE,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
3MINDIA,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
AADHARHFC,yfinance,screener,yfinance,missing,screener,yfinance,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,missing,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
AARTIIND,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
AAVAS,yfinance,screener,yfinance,missing,screener,yfinance,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,missing,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
ABB,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
ABBOTINDIA,yfinance,yfinance,yfinance,missing,yfinance,yfinance,missing,missing,missing,missing,yfinance,missing,yfinance,yfinance,yfinance,yfinance,missing,yfinance,missing,yfinance,yfinance,yfinance,screener,missing,screener,yfinance,missing,missing,screener,screener,screener,yfinance,missing,missing,missing,yfinance,yfinance,missing,yfinance,yfinance,missing,missing,yfinance,missing,missing,screener,missing,missing
ABCAPITAL,yfinance,screener,yfinance,missing,screener,yfinance,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,missing,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
ABDL,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
ABFRL,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,missing,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
ABLBL,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,yfinance,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
ABREL,yfinance,screener,yfinance,missing,screener,screener,missing,screener,screener,missing,yfinance,screener,yfinance,screener,screener,yfinance,screener,screener,screener,screener,missing,screener,screener,missing,screener,yfinance,screener,screener,screener,screener,screener,screener,missing,screener,screener,yfinance,yfinance,screener,yfinance,screener,screener,missing,screener,screener,screener,screener,missing,missing
