symbol,period_end,known_date,field,value
360ONE,2023-06-30,2023-08-14,revenue,5730000000.0
360ONE,2023-06-30,2023-08-14,net_income,1840000000.0
360ONE,2023-06-30,2023-08-14,eps,5.15
360ONE,2023-06-30,2023-08-14,operating_profit_margin_pct,62.0
360ONE,2023-09-30,2023-11-14,revenue,5500000000.0
360ONE,2023-09-30,2023-11-14,net_income,1860000000.0
360ONE,2023-09-30,2023-11-14,eps,5.2
360ONE,2023-09-30,2023-11-14,operating_profit_margin_pct,57.0
360ONE,2023-12-31,2024-02-14,revenue,6300000000.0
360ONE,2023-12-31,2024-02-14,net_income,1920000000.0
360ONE,2023-12-31,2024-02-14,eps,5.36
360ONE,2023-12-31,2024-02-14,operating_profit_margin_pct,60.0
360ONE,2024-03-31,2024-05-15,revenue,7910000000.0
360ONE,2024-03-31,2024-05-15,net_income,2430000000.0
360ONE,2024-03-31,2024-05-15,eps,6.76
360ONE,2024-03-31,2024-05-15,operating_profit_margin_pct,36.0
360ONE,2024-06-30,2024-08-14,revenue,8490000000.0
360ONE,2024-06-30,2024-08-14,net_income,2440000000.0
360ONE,2024-06-30,2024-08-14,eps,6.72
360ONE,2024-06-30,2024-08-14,operating_profit_margin_pct,68.0
360ONE,2024-09-30,2024-11-14,revenue,8650000000.0
360ONE,2024-09-30,2024-11-14,net_income,2450000000.0
360ONE,2024-09-30,2024-11-14,eps,6.73
360ONE,2024-09-30,2024-11-14,operating_profit_margin_pct,63.0
360ONE,2024-12-31,2025-02-14,revenue,7800000000.0
360ONE,2024-12-31,2025-02-14,net_income,2760000000.0
360ONE,2024-12-31,2025-02-14,eps,7.12
360ONE,2024-12-31,2025-02-14,operating_profit_margin_pct,57.0
360ONE,2025-03-31,2025-05-15,revenue,8210000000.0
360ONE,2025-03-31,2025-05-15,net_income,2500000000.0
360ONE,2025-03-31,2025-05-15,eps,6.35
360ONE,2025-03-31,2025-05-15,operating_profit_margin_pct,56.0
360ONE,2025-06-30,2025-08-14,revenue,9110000000.0
360ONE,2025-06-30,2025-08-14,net_income,2850000000.0
360ONE,2025-06-30,2025-08-14,eps,7.04
360ONE,2025-06-30,2025-08-14,operating_profit_margin_pct,62.0
