symbol,symbol,sector,industry,price,shares_outstanding,market_cap,eps_ttm,eps_growth_pct,book_value_per_share,dividend_per_share,ebitda,ebit,enterprise_value,revenue,net_income,total_assets,total_assets_prior,total_liabilities,total_equity,total_debt,interest_expense,retained_earnings,current_assets,current_assets_prior,current_liabilities,current_liabilities_prior,long_term_debt,long_term_debt_prior,gross_profit,gross_profit_prior,revenue_prior,shares_outstanding_prior,net_income_prior,cfo,capex,promoter_holding_pct,promoter_holding_pct_prior,promoter_pledge_pct,fii_holding_pct,fii_holding_pct_prior,dii_holding_pct,dii_holding_pct_prior,related_party_transactions_flag,auditor_changed_flag,actual_eps,analyst_eps_estimate,analyst_eps_estimate_30d_ago
360ONE,360ONE,Financial Services,Asset Management,1183.0,406889174.0,481720000000.0,29.94,12.8,242.0,11.9483,28220000000.0,26670000000.0,616508686336.0,43620000000.0,12160000000.0,272010000000.0,197680000000.0,173650000000.0,98360000000.0,159310000000.0,10900000000.0,97950000000.0,,,,,159310000000.0,111600000000.0,34760998912.0,,36840000000.0,,10150000000.0,-29210000000.0,16130000000.0,6.2,6.24,,58.55,63.33,18.7,12.75,,,30.07,40.95851,
3MINDIA,3MINDIA,Industrials,Conglomerates,36165.0,11265070.0,408220000000.0,517.9,200.4,1906.0,159.126,8370000000.0,7840000000.0,400977362944.0,41890000000.0,5830000000.0,32480000000.0,27140000000.0,11010000000.0,21470000000.0,180000000.0,30000000.0,21360000000.0,,,,,180000000.0,270000000.0,21306699776.0,,39590000000.0,,4510000000.0,6430000000.0,2690000000.0,75.0,75.0,,3.5,3.52,8.16,8.34,,,463.56,753.4,
AADHARHFC,AADHARHFC,Financial Services,Mortgage Finance,503.0,437337117.0,220020000000.0,25.15,18.4,173.0,0.0,28020000000.0,27700000000.0,403539263488.0,36830000000.0,10960000000.0,273990000000.0,232240000000.0,198580000000.0,75410000000.0,192725499904.0,13640000000.0,71050000000.0,,,,,,,23333699584.0,,31090000000.0,,9120000000.0,-28080000000.0,0.0,64.66,64.9,,5.8,6.13,9.92,9.15,,,25.75,36.94358,
AARTIIND,AARTIIND,Basic Materials,Specialty Chemicals,538.0,362726695.0,195270000000.0,11.56,258.0,164.0,1.0222,11790000000.0,7050000000.0,236285460480.0,82860000000.0,4190000000.0,132990000000.0,111140000000.0,73440000000.0,59550000000.0,49660000000.0,3400000000.0,57740000000.0,,,,,49660000000.0,38480000000.0,32390000640.0,,72710000000.0,,3310000000.0,7750000000.0,11410000000.0,41.82,42.09,,7.0,7.38,21.11,20.12,,,14.6,20.07827,
AAVAS,AAVAS,Financial Services,Mortgage Finance,1432.0,79290026.0,113500000000.0,62.0,23.3,477.0,0.0,14860000000.0,14530000000.0,250714324992.0,20180000000.0,4910000000.0,165190000000.0,134100000000.0,127460000000.0,37730000000.0,156855713792.0,8280000000.0,36940000000.0,,,,,,,16039942144.0,,16090000000.0,,4300000000.0,-19870000000.0,6480000000.0,48.88,48.88,,16.28,16.74,22.15,22.14,,,86.25,114.9494,
ABB,ABB,Industrials,Specialty Industrial Machinery,7710.0,211908375.0,1635940000000.0,78.73,3.0,441.0,39.321000000000005,23950000000.0,22490000000.0,1562573930496.0,132030000000.0,16680000000.0,157360000000.0,136380000000.0,63970000000.0,93390000000.0,1450000000.0,200000000.0,92970000000.0,,,,,1450000000.0,850000000.0,52175200256.0,,121880000000.0,,18720000000.0,12200000000.0,0.0,75.0,75.0,,7.67,8.19,9.89,9.28,,,74.79,104.88056,
ABBOTINDIA,ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic,27620.0,21249302.0,586905747456.0,731.64,7.6,2246.751,525.0,18476099584.0,18476099584.0,577351974912.0,69290500096.0,15520199680.0,,,,,1719900032.0,,,,,,,,,32230600704.0,,,,,13192399872.0,,74.99,74.99,,0.38,0.27,8.77,8.93,,,731.64,903.84314,
ABCAPITAL,ABCAPITAL,Financial Services,Financial Conglomerates,408.0,2736160882.0,1129260000000.0,14.75,39.1,131.0,0.0,172000000000.0,168930000000.0,2752194543616.0,455130000000.0,38640000000.0,3349660000000.0,2786430000000.0,3005420000000.0,344240000000.0,1823427919872.0,116220000000.0,318040000000.0,,,,,,,96483401728.0,,406320000000.0,,33820000000.0,-365440000000.0,35440000000.0,68.81,68.51,,7.94,7.01,13.36,13.71,,,15.45,25.36531,
ABDL,ABDL,Consumer Defensive,Beverages - Wineries & Distilleries,628.0,279710151.0,175520000000.0,8.16,-12.9,59.4,5.4008,5650000000.0,4860000000.0,182173384704.0,39230000000.0,2200000000.0,41630000000.0,35340000000.0,25000000000.0,16630000000.0,11510000000.0,1350000000.0,16070000000.0,,,,,11510000000.0,9050000000.0,18142590976.0,,35200000000.0,,1950000000.0,3620000000.0,3310000000.0,80.91,80.91,,3.24,3.23,5.07,4.82,,,7.92,15.52727,
ABFRL,ABFRL,Consumer Cyclical,Apparel Manufacturing,56.7,1216777241.0,69280000000.0,-6.36,,47.8,0.0,9720000000.0,-3670000000.0,131881713664.0,81760000000.0,-8300000000.0,173950000000.0,163940000000.0,115550000000.0,58400000000.0,61890000000.0,5610000000.0,46190000000.0,,,,,61890000000.0,50170000000.0,44913000448.0,,73510000000.0,,-4560000000.0,1610000000.0,2670000000.0,46.61,46.61,,12.87,15.53,5.69,6.62,,,-6.41,-5.70589,
ABLBL,ABLBL,Consumer Cyclical,Apparel Retail,90.0,1214638186.0,109810000000.0,1.4,20.0,11.6,0.5040000000000001,14070000000.0,6120000000.0,139303403520.0,83960000000.0,1710000000.0,87200000000.0,82790000000.0,73070000000.0,14130000000.0,30180000000.0,3920000000.0,1920000000.0,,,,,30180000000.0,29320000000.0,49194901504.0,,78300000000.0,,600000000.0,12190000000.0,1980000000.0,46.6,46.6,,12.7,12.78,20.8,20.24,,,1.45,3.1,
ABREL,ABREL,Real Estate,Real Estate Services,1394.0,110577844.0,155640000000.0,-9.24,,331.0,2.5092,-1220000000.0,-1900000000.0,184755486720.0,4070000000.0,-1150000000.0,202330000000.0,164830000000.0,165320000000.0,37010000000.0,56360000000.0,640000000.0,35890000000.0,,,,,56360000000.0,49970000000.0,2355599872.0,,12190000000.0,,-1570000000.0,7470000000.0,5880000000.0,50.21,50.21,,9.26,9.04,16.63,16.4,,,-29.57,53.249,
ABSLAMC,ABSLAMC,Financial Services,Asset Management,1026.0,289263746.0,296870000000.0,33.76,11.3,140.0,25.4448,13170000000.0,12710000000.0,262471417856.0,20560000000.0,9750000000.0,44150000000.0,41140000000.0,3740000000.0,40410000000.0,640000000.0,50000000.0,38970000000.0,,,,,640000000.0,680000000.0,16195900416.0,,19820000000.0,,9310000000.0,8120000000.0,950000000.0,74.72,74.82,,4.41,5.75,14.26,11.55,,,34.79,43.60359,
ACC,ACC,Basic Materials,Building Materials,1325.0,187787263.0,248720000000.0,113.8,-60.6,1094.0,7.552499999999999,33870000000.0,22690000000.0,249232457728.0,259620000000.0,21370000000.0,275250000000.0,254130000000.0,69740000000.0,205510000000.0,4290000000.0,1120000000.0,203630000000.0,,,,,4290000000.0,4300000000.0,102503702528.0,,217620000000.0,,24020000000.0,-13640000000.0,0.0,56.69,56.69,,5.83,5.93,21.12,21.62,,,101.43,98.20571,
ACE,ACE,Industrials,Farm & Heavy Construction Machinery,1078.0,119027888.0,128430000000.0,34.86,22.3,169.0,2.0482,6140000000.0,5790000000.0,122037837824.0,32800000000.0,4150000000.0,32520000000.0,27100000000.0,12410000000.0,20110000000.0,80000000.0,220000000.0,19870000000.0,,,,,80000000.0,160000000.0,11003199488.0,,33270000000.0,,4090000000.0,4170000000.0,3500000000.0,65.42,65.42,,7.82,9.58,2.59,1.84,,,36.72,47.1,
