symbol,name,sector,industry,series
360ONE,360 ONE WAM Ltd.,Financial Services,Financial Services,EQ
3MINDIA,3M India Ltd.,Diversified,Diversified,EQ
ABB,ABB India Ltd.,Capital Goods,Capital Goods,EQ
ACC,ACC Ltd.,Construction Materials,Construction Materials,EQ
ACMESOLAR,ACME Solar Holdings Ltd.,Power,Power,EQ
AIAENG,AIA Engineering Ltd.,Capital Goods,Capital Goods,EQ
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,Capital Goods,EQ
AUBANK,AU Small Finance Bank Ltd.,Financial Services,Financial Services,EQ
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,Financial Services,EQ
AARTIIND,Aarti Industries Ltd.,Chemicals,Chemicals,EQ
AAVAS,Aavas Financiers Ltd.,Financial Services,Financial Services,EQ
ABBOTINDIA,Abbott India Ltd.,Healthcare,Healthcare,EQ
ACE,Action Construction Equipment Ltd.,Capital Goods,Capital Goods,EQ
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,Healthcare,EQ
ADANIENSOL,Adani Energy Solutions Ltd.,Power,Power,EQ
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,Metals & Mining,EQ
ADANIGREEN,Adani Green Energy Ltd.,Power,Power,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,Services,EQ
ADANIPOWER,Adani Power Ltd.,Power,Power,EQ
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,Financial Services,EQ
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,Consumer Services,EQ
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,Consumer Services,EQ
ABREL,Aditya Birla Real Estate Ltd.,Realty,Realty,EQ
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,Financial Services,EQ
CPPLUS,Aditya Infotech Ltd.,Capital Goods,Capital Goods,EQ
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ
AFCONS,Afcons Infrastructure Ltd.,Construction,Construction,EQ
AFFLE,Affle 3i Ltd.,Information Technology,Information Technology,EQ
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,Healthcare,EQ
ALKEM,Alkem Laboratories Ltd.,Healthcare,Healthcare,EQ
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
AMBER,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,EQ
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,Construction Materials,EQ
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,Financial Services,EQ
ANANTRAJ,Anant Raj Ltd.,Realty,Realty,EQ
ANGELONE,Angel One Ltd.,Financial Services,Financial Services,EQ
ANTHEM,Anthem Biosciences Ltd.,Healthcare,Healthcare,EQ
ANURAS,Anupam Rasayan India Ltd.,Chemicals,Chemicals,EQ
APARINDS,Apar Industries Ltd.,Capital Goods,Capital Goods,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,EQ
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,Financial Services,EQ
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,Capital Goods,EQ
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,Consumer Durables,EQ
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,Healthcare,EQ
ASTRAL,Astral Ltd.,Capital Goods,Capital Goods,EQ
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
ATUL,Atul Ltd.,Chemicals,Chemicals,EQ
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,Healthcare,EQ
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,Financial Services,EQ
DMART,Avenue Supermarts Ltd.,Consumer Services,Consumer Services,EQ
AXISBANK,Axis Bank Ltd.,Financial Services,Financial Services,EQ
BEML,BEML Ltd.,Capital Goods,Capital Goods,EQ
BLS,BLS International Services Ltd.,Consumer Services,Consumer Services,EQ
BSE,BSE Ltd.,Financial Services,Financial Services,EQ
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,Financial Services,EQ
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Services,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,Financial Services,EQ
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,Financial Services,EQ
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,Financial Services,EQ
BANKBARODA,Bank of Baroda,Financial Services,Financial Services,EQ
BANKINDIA,Bank of India,Financial Services,Financial Services,EQ
MAHABANK,Bank of Maharashtra,Financial Services,Financial Services,EQ
BATAINDIA,Bata India Ltd.,Consumer Durables,Consumer Durables,EQ
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,Chemicals,EQ
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,Consumer Durables,EQ
BDL,Bharat Dynamics Ltd.,Capital Goods,Capital Goods,EQ
BEL,Bharat Electronics Ltd.,Capital Goods,Capital Goods,EQ
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,Capital Goods,EQ
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,Telecommunication,EQ
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,Telecommunication,EQ
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,Financial Services,EQ
BIOCON,Biocon Ltd.,Healthcare,Healthcare,EQ
BSOFT,Birlasoft Ltd.,Information Technology,Information Technology,EQ
BLUEDART,Blue Dart Express Ltd.,Services,Services,EQ
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,Healthcare,EQ
BLUESTARCO,Blue Star Ltd.,Consumer Durables,Consumer Durables,EQ
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,Consumer Services,EQ
BRIGADE,Brigade Enterprises Ltd.,Realty,Realty,EQ
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,Information Technology,EQ
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ
CESC,CESC Ltd.,Power,Power,EQ
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,EQ
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
CRISIL,CRISIL Ltd.,Financial Services,Financial Services,EQ
CANFINHOME,Can Fin Homes Ltd.,Financial Services,Financial Services,EQ
CANBK,Canara Bank,Financial Services,Financial Services,EQ
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,Financial Services,EQ
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,Healthcare,EQ
CGCL,Capri Global Capital Ltd.,Financial Services,Financial Services,EQ
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,Capital Goods,EQ
CARTRADE,Cartrade Tech Ltd.,Consumer Services,Consumer Services,EQ
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ
CEATLTD,Ceat Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ
CEMPRO,Cemindia Projects Ltd.,Construction,Construction,EQ
CENTRALBK,Central Bank of India,Financial Services,Financial Services,EQ
CDSL,Central Depository Services (India) Ltd.,Financial Services,Financial Services,EQ
CHALET,Chalet Hotels Ltd.,Consumer Services,Consumer Services,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,Chemicals,EQ
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ
CHOICEIN,Choice International Ltd.,Financial Services,Financial Services,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,Financial Services,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Financial Services,EQ
CIPLA,Cipla Ltd.,Healthcare,Healthcare,EQ
CUB,City Union Bank Ltd.,Financial Services,Financial Services,EQ
CLEAN,Clean Science and Technology Ltd.,Chemicals,Chemicals,EQ
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,Capital Goods,EQ
COFORGE,Coforge Ltd.,Information Technology,Information Technology,EQ
